avs2160,UBS1,0
avs2160,VAR1,0
avs2160,WWC1,0
zs2368,AMP1,0
zs2368,APP1,0
zs2368,BAM1,0
zs2368,BED1,0
zs2368,BLA1,0
zs2368,CAR1,0
zs2368,CGA1,0
zs2368,CHP1,0
zs2368,CHP2,0
zs2368,CHP3,0
zs2368,DAB1,0
zs2368,DAB2,0
zs2368,DAB3,0
zs2368,DAR1,0
zs2368,EBI1,0
zs2368,ENG1,0
zs2368,GLD1,0
zs2368,GUY1,0
zs2368,IRO1,0
zs2368,JWK1,0
zs2368,KIW1,0
zs2368,LEN1,0
zs2368,LHC1,0
zs2368,MIA1,231
zs2368,MSY1,0
zs2368,MUL1,0
zs2368,P721,0
zs2368,PUB1,0
zs2368,PUB2,0
zs2368,REO1,0
zs2368,REO2,0
zs2368,REO3,0
zs2368,REO4,0
zs2368,REO5,0
zs2368,ROC1,0
zs2368,SAP1,0
zs2368,SOS1,0
zs2368,UBS1,600
zs2368,VAR1,169
zs2368,WWC1,0
yy2818,AMP1,0
yy2818,APP1,0
yy2818,BAM1,0
yy2818,BED1,0
yy2818,BLA1,0
yy2818,CAR1,0
yy2818,CGA1,0
yy2818,CHP1,0
yy2818,CHP2,0
yy2818,CHP3,0
yy2818,DAB1,0
yy2818,DAB2,0
yy2818,DAB3,0
yy2818,DAR1,0
yy2818,EBI1,0
yy2818,ENG1,0
yy2818,GLD1,0
yy2818,GUY1,0
yy2818,IRO1,0
yy2818,JWK1,0
yy2818,KIW1,0
yy2818,LEN1,0
yy2818,LHC1,0
yy2818,MIA1,0
yy2818,MSY1,0
yy2818,MUL1,0
yy2818,P721,0
yy2818,PUB1,0
yy2818,PUB2,0
yy2818,REO1,0
yy2818,REO2,0
yy2818,REO3,0
yy2818,REO4,0
yy2818,REO5,0
yy2818,ROC1,0
yy2818,SAP1,0
yy2818,SOS1,0
yy2818,UBS1,0
yy2818,VAR1,0
yy2818,WWC1,0
yz3680,AMP1,0
yz3680,APP1,0
yz3680,BAM1,0
yz3680,BED1,0
yz3680,BLA1,0
yz3680,CAR1,0
yz3680,CGA1,0
yz3680,CHP1,0
yz3680,CHP2,0
yz3680,CHP3,0
yz3680,DAB1,0
yz3680,DAB2,0
yz3680,DAB3,0
yz3680,DAR1,0
yz3680,EBI1,0
yz3680,ENG1,0
yz3680,GLD1,0
yz3680,GUY1,0
yz3680,IRO1,0
yz3680,JWK1,0
yz3680,KIW1,0
yz3680,LEN1,0
yz3680,LHC1,0
yz3680,MIA1,0
dz2423,AMP1,0
dz2423,APP1,0
dz2423,BAM1,0
dz2423,BED1,0
